Name,Stock_B
Symbol,BBB
Exchange,Exchange_01
Current Price,813.69

Stock Activity

Year,Month,Day,High,Low,Close,Volume
0,0,0,51.00,49.00,50.00,10000
0,0,1,-1.00,-1.00,57.82,-1
0,0,2,-1.00,-1.00,48.24,-1
0,0,3,-1.00,-1.00,48.26,-1
0,0,4,-1.00,-1.00,39.82,-1
0,0,5,-1.00,-1.00,46.12,-1
0,0,6,-1.00,-1.00,39.78,-1
0,0,7,-1.00,-1.00,33.16,-1
0,0,8,-1.00,-1.00,43.82,-1
0,0,9,-1.00,-1.00,33.71,-1
0,0,10,-1.00,-1.00,40.81,-1
0,0,11,-1.00,-1.00,50.75,-1
0,0,12,-1.00,-1.00,50.12,-1
0,0,13,-1.00,-1.00,44.43,-1
0,0,14,-1.00,-1.00,41.57,-1
0,0,15,-1.00,-1.00,29.28,-1
0,0,16,-1.00,-1.00,35.64,-1
0,0,17,-1.00,-1.00,48.82,-1
0,0,18,-1.00,-1.00,55.77,-1
0,0,19,-1.00,-1.00,56.45,-1
0,0,20,-1.00,-1.00,35.63,-1
0,0,21,-1.00,-1.00,32.20,-1
0,0,22,-1.00,-1.00,39.69,-1
0,0,23,-1.00,-1.00,47.45,-1
0,0,24,-1.00,-1.00,45.36,-1
0,0,25,-1.00,-1.00,48.78,-1
0,0,26,-1.00,-1.00,45.41,-1
0,0,27,-1.00,-1.00,36.15,-1
0,0,28,-1.00,-1.00,36.03,-1
0,0,29,-1.00,-1.00,39.45,-1
0,0,30,-1.00,-1.00,45.15,-1
0,0,31,-1.00,-1.00,40.06,-1
0,0,32,-1.00,-1.00,48.48,-1
0,0,33,-1.00,-1.00,56.85,-1
0,0,34,-1.00,-1.00,60.10,-1
0,0,35,-1.00,-1.00,53.77,-1
0,0,36,-1.00,-1.00,64.06,-1
0,0,37,-1.00,-1.00,77.96,-1
0,0,38,-1.00,-1.00,64.79,-1
0,0,39,-1.00,-1.00,72.43,-1
0,0,40,-1.00,-1.00,65.34,-1
0,0,41,-1.00,-1.00,59.26,-1
0,0,42,-1.00,-1.00,57.49,-1
0,0,43,-1.00,-1.00,50.01,-1
0,0,44,-1.00,-1.00,47.29,-1
