Name,Stock_C
Symbol,CCC
Exchange,Exchange_01
Current Price,1756.20

Stock Activity

Year,Month,Day,High,Low,Close,Volume
0,0,0,91.00,89.00,90.00,10000
0,0,1,-1.00,-1.00,83.02,-1
0,0,2,-1.00,-1.00,94.24,-1
0,0,3,-1.00,-1.00,84.20,-1
0,0,4,-1.00,-1.00,76.28,-1
0,0,5,-1.00,-1.00,77.56,-1
0,0,6,-1.00,-1.00,107.08,-1
0,0,7,-1.00,-1.00,97.31,-1
0,0,8,-1.00,-1.00,88.77,-1
0,0,9,-1.00,-1.00,71.82,-1
0,0,10,-1.00,-1.00,85.02,-1
0,0,11,-1.00,-1.00,90.09,-1
0,0,12,-1.00,-1.00,113.28,-1
0,0,13,-1.00,-1.00,101.69,-1
0,0,14,-1.00,-1.00,110.65,-1
0,0,15,-1.00,-1.00,108.76,-1
0,0,16,-1.00,-1.00,112.20,-1
0,0,17,-1.00,-1.00,113.45,-1
0,0,18,-1.00,-1.00,119.52,-1
0,0,19,-1.00,-1.00,115.15,-1
0,0,20,-1.00,-1.00,119.39,-1
0,0,21,-1.00,-1.00,109.47,-1
0,0,22,-1.00,-1.00,116.42,-1
0,0,23,-1.00,-1.00,145.61,-1
0,0,24,-1.00,-1.00,133.50,-1
0,0,25,-1.00,-1.00,112.72,-1
0,0,26,-1.00,-1.00,123.77,-1
0,0,27,-1.00,-1.00,105.98,-1
0,0,28,-1.00,-1.00,106.98,-1
0,0,29,-1.00,-1.00,114.99,-1
0,0,30,-1.00,-1.00,111.10,-1
0,0,31,-1.00,-1.00,101.32,-1
0,0,32,-1.00,-1.00,100.65,-1
0,0,33,-1.00,-1.00,90.17,-1
0,0,34,-1.00,-1.00,101.13,-1
0,0,35,-1.00,-1.00,104.87,-1
0,0,36,-1.00,-1.00,117.90,-1
0,0,37,-1.00,-1.00,131.11,-1
0,0,38,-1.00,-1.00,125.83,-1
0,0,39,-1.00,-1.00,113.73,-1
0,0,40,-1.00,-1.00,125.22,-1
0,0,41,-1.00,-1.00,123.59,-1
0,0,42,-1.00,-1.00,132.22,-1
0,0,43,-1.00,-1.00,138.78,-1
0,0,44,-1.00,-1.00,134.16,-1
0,0,45,-1.00,-1.00,136.58,-1
0,0,46,-1.00,-1.00,147.73,-1
0,0,47,-1.00,-1.00,135.57,-1
0,0,48,-1.00,-1.00,132.08,-1
