Name,Stock_E
Symbol,EEE
Exchange,Exchange_01
Current Price,-3634.02

Stock Activity

Year,Month,Day,High,Low,Close,Volume
0,0,0,171.00,169.00,170.00,10000
0,0,1,-1.00,-1.00,180.76,-1
0,0,2,-1.00,-1.00,165.43,-1
0,0,3,-1.00,-1.00,167.80,-1
0,0,4,-1.00,-1.00,177.30,-1
0,0,5,-1.00,-1.00,202.50,-1
0,0,6,-1.00,-1.00,210.62,-1
0,0,7,-1.00,-1.00,210.75,-1
0,0,8,-1.00,-1.00,221.24,-1
0,0,9,-1.00,-1.00,168.11,-1
0,0,10,-1.00,-1.00,144.73,-1
0,0,11,-1.00,-1.00,148.03,-1
0,0,12,-1.00,-1.00,143.60,-1
0,0,13,-1.00,-1.00,115.49,-1
0,0,14,-1.00,-1.00,121.22,-1
0,0,15,-1.00,-1.00,119.68,-1
0,0,16,-1.00,-1.00,134.96,-1
0,0,17,-1.00,-1.00,138.50,-1
0,0,18,-1.00,-1.00,80.84,-1
0,0,19,-1.00,-1.00,84.73,-1
0,0,20,-1.00,-1.00,75.00,-1
0,0,21,-1.00,-1.00,99.54,-1
0,0,22,-1.00,-1.00,150.94,-1
0,0,23,-1.00,-1.00,191.14,-1
0,0,24,-1.00,-1.00,166.82,-1
0,0,25,-1.00,-1.00,159.65,-1
0,0,26,-1.00,-1.00,136.38,-1
0,0,27,-1.00,-1.00,110.75,-1
0,0,28,-1.00,-1.00,111.70,-1
0,0,29,-1.00,-1.00,174.97,-1
0,0,30,-1.00,-1.00,204.85,-1
0,0,31,-1.00,-1.00,210.82,-1
0,0,32,-1.00,-1.00,202.20,-1
0,0,33,-1.00,-1.00,182.93,-1
0,0,34,-1.00,-1.00,195.25,-1
0,0,35,-1.00,-1.00,218.12,-1
0,0,36,-1.00,-1.00,190.86,-1
0,0,37,-1.00,-1.00,183.78,-1
0,0,38,-1.00,-1.00,168.19,-1
0,0,39,-1.00,-1.00,186.08,-1
0,0,40,-1.00,-1.00,195.25,-1
0,0,41,-1.00,-1.00,133.63,-1
0,0,42,-1.00,-1.00,104.62,-1
0,0,43,-1.00,-1.00,81.96,-1
0,0,44,-1.00,-1.00,74.17,-1
0,0,45,-1.00,-1.00,52.90,-1
0,0,46,-1.00,-1.00,50.84,-1
0,0,47,-1.00,-1.00,52.48,-1
0,0,48,-1.00,-1.00,65.98,-1
0,0,49,-1.00,-1.00,58.13,-1
0,0,50,-1.00,-1.00,97.94,-1
0,0,51,-1.00,-1.00,1.94,-1
0,0,52,-1.00,-1.00,8.09,-1
0,0,53,-1.00,-1.00,-23.92,-1
0,0,54,-1.00,-1.00,21.13,-1
0,0,55,-1.00,-1.00,87.52,-1
0,0,56,-1.00,-1.00,88.38,-1
0,0,57,-1.00,-1.00,67.79,-1
0,0,58,-1.00,-1.00,28.61,-1
0,0,59,-1.00,-1.00,33.39,-1
0,0,60,-1.00,-1.00,64.93,-1
0,0,61,-1.00,-1.00,112.90,-1
0,0,62,-1.00,-1.00,76.85,-1
0,0,63,-1.00,-1.00,75.70,-1
0,0,64,-1.00,-1.00,91.18,-1
0,0,65,-1.00,-1.00,95.76,-1
0,0,66,-1.00,-1.00,135.50,-1
0,0,67,-1.00,-1.00,174.91,-1
0,0,68,-1.00,-1.00,130.88,-1
0,0,69,-1.00,-1.00,126.09,-1
0,0,70,-1.00,-1.00,140.72,-1
0,0,71,-1.00,-1.00,159.82,-1
0,0,72,-1.00,-1.00,142.11,-1
0,0,73,-1.00,-1.00,193.16,-1
0,0,74,-1.00,-1.00,178.77,-1
0,0,75,-1.00,-1.00,172.17,-1
0,0,76,-1.00,-1.00,132.75,-1
0,0,77,-1.00,-1.00,117.99,-1
0,0,78,-1.00,-1.00,157.65,-1
0,0,79,-1.00,-1.00,149.11,-1
0,0,80,-1.00,-1.00,153.71,-1
0,0,81,-1.00,-1.00,148.43,-1
0,0,82,-1.00,-1.00,126.67,-1
0,0,83,-1.00,-1.00,121.59,-1
0,0,84,-1.00,-1.00,110.97,-1
0,0,85,-1.00,-1.00,105.85,-1
0,0,86,-1.00,-1.00,108.80,-1
0,0,87,-1.00,-1.00,125.34,-1
0,0,88,-1.00,-1.00,76.85,-1
0,0,89,-1.00,-1.00,124.14,-1
0,0,90,-1.00,-1.00,146.09,-1
0,0,91,-1.00,-1.00,166.14,-1
0,0,92,-1.00,-1.00,101.72,-1
0,0,93,-1.00,-1.00,116.28,-1
0,0,94,-1.00,-1.00,62.45,-1
0,0,95,-1.00,-1.00,92.41,-1
0,0,96,-1.00,-1.00,109.25,-1
0,0,97,-1.00,-1.00,86.29,-1
0,0,98,-1.00,-1.00,93.72,-1
0,0,99,-1.00,-1.00,123.72,-1
0,0,100,-1.00,-1.00,98.65,-1
0,0,101,-1.00,-1.00,78.82,-1
0,0,102,-1.00,-1.00,47.68,-1
0,0,103,-1.00,-1.00,-16.94,-1
0,0,104,-1.00,-1.00,6.48,-1
0,0,105,-1.00,-1.00,-24.66,-1
0,0,106,-1.00,-1.00,-33.49,-1
0,0,107,-1.00,-1.00,36.16,-1
0,0,108,-1.00,-1.00,31.95,-1
0,0,109,-1.00,-1.00,84.55,-1
0,0,110,-1.00,-1.00,92.75,-1
0,0,111,-1.00,-1.00,124.64,-1
0,0,112,-1.00,-1.00,93.48,-1
0,0,113,-1.00,-1.00,130.80,-1
0,0,114,-1.00,-1.00,166.19,-1
0,0,115,-1.00,-1.00,163.92,-1
0,0,116,-1.00,-1.00,195.92,-1
0,0,117,-1.00,-1.00,214.10,-1
0,0,118,-1.00,-1.00,205.65,-1
0,0,119,-1.00,-1.00,186.72,-1
0,0,120,-1.00,-1.00,193.82,-1
0,0,121,-1.00,-1.00,210.61,-1
0,0,122,-1.00,-1.00,234.48,-1
0,0,123,-1.00,-1.00,213.12,-1
0,0,124,-1.00,-1.00,262.59,-1
0,0,125,-1.00,-1.00,282.81,-1
0,0,126,-1.00,-1.00,246.65,-1
0,0,127,-1.00,-1.00,213.39,-1
0,0,128,-1.00,-1.00,209.81,-1
0,0,129,-1.00,-1.00,205.25,-1
0,0,130,-1.00,-1.00,181.05,-1
0,0,131,-1.00,-1.00,177.50,-1
0,0,132,-1.00,-1.00,149.89,-1
0,0,133,-1.00,-1.00,152.59,-1
0,0,134,-1.00,-1.00,135.78,-1
0,0,135,-1.00,-1.00,144.67,-1
0,0,136,-1.00,-1.00,164.21,-1
0,0,137,-1.00,-1.00,219.37,-1
0,0,138,-1.00,-1.00,257.38,-1
0,0,139,-1.00,-1.00,294.37,-1
0,0,140,-1.00,-1.00,296.88,-1
0,0,141,-1.00,-1.00,307.80,-1
0,0,142,-1.00,-1.00,305.70,-1
0,0,143,-1.00,-1.00,311.93,-1
0,0,144,-1.00,-1.00,299.22,-1
0,0,145,-1.00,-1.00,295.10,-1
0,0,146,-1.00,-1.00,304.36,-1
0,0,147,-1.00,-1.00,330.77,-1
0,0,148,-1.00,-1.00,347.00,-1
0,0,149,-1.00,-1.00,322.28,-1
0,0,150,-1.00,-1.00,347.38,-1
0,0,151,-1.00,-1.00,372.19,-1
0,0,152,-1.00,-1.00,345.18,-1
0,0,153,-1.00,-1.00,365.54,-1
0,0,154,-1.00,-1.00,413.00,-1
0,0,155,-1.00,-1.00,330.59,-1
0,0,156,-1.00,-1.00,305.17,-1
0,0,157,-1.00,-1.00,275.48,-1
0,0,158,-1.00,-1.00,342.07,-1
0,0,159,-1.00,-1.00,340.19,-1
0,0,160,-1.00,-1.00,331.63,-1
0,0,161,-1.00,-1.00,299.91,-1
0,0,162,-1.00,-1.00,294.71,-1
0,0,163,-1.00,-1.00,285.59,-1
0,0,164,-1.00,-1.00,255.94,-1
0,0,165,-1.00,-1.00,233.76,-1
0,0,166,-1.00,-1.00,243.01,-1
0,0,167,-1.00,-1.00,203.10,-1
0,0,168,-1.00,-1.00,208.72,-1
0,0,169,-1.00,-1.00,192.65,-1
0,0,170,-1.00,-1.00,192.42,-1
0,0,171,-1.00,-1.00,195.38,-1
0,0,172,-1.00,-1.00,195.27,-1
0,0,173,-1.00,-1.00,160.27,-1
0,0,174,-1.00,-1.00,139.48,-1
0,0,175,-1.00,-1.00,148.83,-1
0,0,176,-1.00,-1.00,140.05,-1
0,0,177,-1.00,-1.00,146.01,-1
0,0,178,-1.00,-1.00,171.33,-1
0,0,179,-1.00,-1.00,119.96,-1
0,0,180,-1.00,-1.00,94.43,-1
0,0,181,-1.00,-1.00,108.88,-1
0,0,182,-1.00,-1.00,88.60,-1
0,0,183,-1.00,-1.00,68.88,-1
0,0,184,-1.00,-1.00,136.48,-1
0,0,185,-1.00,-1.00,132.65,-1
0,0,186,-1.00,-1.00,113.54,-1
0,0,187,-1.00,-1.00,116.41,-1
0,0,188,-1.00,-1.00,109.38,-1
0,0,189,-1.00,-1.00,104.54,-1
0,0,190,-1.00,-1.00,99.54,-1
0,0,191,-1.00,-1.00,124.93,-1
0,0,192,-1.00,-1.00,87.81,-1
0,0,193,-1.00,-1.00,129.32,-1
0,0,194,-1.00,-1.00,191.15,-1
0,0,195,-1.00,-1.00,150.10,-1
0,0,196,-1.00,-1.00,150.39,-1
0,0,197,-1.00,-1.00,173.48,-1
0,0,198,-1.00,-1.00,147.25,-1
0,0,199,-1.00,-1.00,146.26,-1
0,0,200,-1.00,-1.00,131.30,-1
0,0,201,-1.00,-1.00,158.64,-1
0,0,202,-1.00,-1.00,175.74,-1
0,0,203,-1.00,-1.00,161.52,-1
0,0,204,-1.00,-1.00,145.81,-1
0,0,205,-1.00,-1.00,169.27,-1
0,0,206,-1.00,-1.00,143.56,-1
0,0,207,-1.00,-1.00,190.87,-1
0,0,208,-1.00,-1.00,207.94,-1
0,0,209,-1.00,-1.00,130.91,-1
0,0,210,-1.00,-1.00,151.72,-1
0,0,211,-1.00,-1.00,123.80,-1
0,0,212,-1.00,-1.00,119.48,-1
0,0,213,-1.00,-1.00,131.57,-1
