Performance Struct Name:,Performance_01,,,,
Portfolio Tracked:,Portfolio_01,,,,
,,,,,
Year,Month,Day,Total Investment,Total Revenue,Total Value
0,0,0,5000,0,5000
0,0,1,5255.15,0,390.15
0,0,2,5255.15,0,390.15
0,0,3,5255.15,0,390.15
0,0,4,5255.15,0,390.15
0,0,5,5255.15,0,390.15
0,0,6,5255.15,0,390.15
0,0,7,5255.15,0,390.15
0,0,8,5255.15,0,390.15
0,0,9,5255.15,0,390.15
0,0,10,5255.15,0,390.15
0,0,11,5255.15,0,390.15
0,0,12,5255.15,0,390.15
0,0,13,5255.15,0,390.15
0,0,14,5255.15,0,390.15
0,0,15,5255.15,0,390.15
0,0,16,5255.15,0,390.15
0,0,17,5255.15,0,390.15
0,0,18,5255.15,0,390.15
0,0,19,5255.15,0,390.15
0,0,20,5255.15,0,390.15
0,0,21,5255.15,0,390.15
0,0,22,5255.15,0,390.15
0,0,23,5255.15,0,390.15
0,0,24,5255.15,0,390.15
0,0,25,5255.15,0,390.15
0,0,26,5255.15,0,390.15
0,0,27,5255.15,0,390.15
0,0,28,5255.15,0,390.15
0,0,29,5255.15,0,390.15
0,0,30,5255.15,0,390.15
0,0,31,5264.11,0,378.88
0,0,32,5264.11,0,378.88
0,0,33,5264.11,0,378.88
0,0,34,5264.11,0,378.88
0,0,35,5264.11,0,378.88
0,0,36,5264.11,0,378.88
0,0,37,5264.11,0,378.88
0,0,38,5264.11,0,378.88
0,0,39,5264.11,0,378.88
0,0,40,5264.11,0,378.88
0,0,41,5264.11,0,378.88
0,0,42,5264.11,0,378.88
0,0,43,5264.11,0,378.88
0,0,44,5264.11,0,378.88
0,0,45,5264.11,0,378.88
0,0,46,5264.11,0,378.88
0,0,47,5264.11,0,378.88
0,0,48,5264.11,0,378.88
0,0,49,5275,0,369.05
0,0,50,5275,0,369.05
0,0,51,5275,0,369.05
0,0,52,5275,0,369.05
0,0,53,5275,0,369.05
0,0,54,5275,0,369.05
0,0,55,5275,0,369.05
0,0,56,5275,0,369.05
0,0,57,5275,0,369.05
0,0,58,5275,8.82,375.48
0,0,59,5275,8.82,375.48
0,0,60,5275,8.82,375.48
0,0,61,5275,8.82,375.48
0,0,62,5275,8.82,375.48
0,0,63,5275,8.82,375.48
0,0,64,5275,8.82,375.48
0,0,65,5275,8.82,375.48
0,0,66,5275,8.82,375.48
0,0,67,5275,8.82,375.48
0,0,68,5275,19.38,382.8
0,0,69,5275,19.38,382.8
0,0,70,5275,19.38,382.8
0,0,71,5275,19.38,382.8
0,0,72,5275,19.38,382.8
0,0,73,5275,19.38,382.8
0,0,74,5275,19.38,382.8
0,0,75,5275,19.38,382.8
0,0,76,5275,19.38,382.8
0,0,77,5290.99,19.38,372.69
0,0,78,5290.99,19.38,372.69
0,0,79,5290.99,19.38,372.69
0,0,80,5290.99,19.38,372.69
0,0,81,5290.99,19.38,372.69
0,0,82,5290.99,30.99,379.26
0,0,83,5290.99,30.99,379.26
0,0,84,5290.99,30.99,379.26
0,0,85,5290.99,30.99,379.26
0,0,86,5290.99,30.99,379.26
0,0,87,5290.99,30.99,379.26
0,0,88,5290.99,30.99,379.26
0,0,89,5290.99,30.99,379.26
0,0,90,5290.99,30.99,379.26
0,0,91,5290.99,30.99,379.26
0,0,92,5290.99,30.99,379.26
0,0,93,5290.99,30.99,379.26
0,0,94,5290.99,30.99,379.26
0,0,95,5290.99,30.99,379.26
0,0,96,5290.99,30.99,379.26
0,0,97,5290.99,30.99,379.26
0,0,98,5290.99,30.99,379.26
