Performance Struct Name:,Performance_01,,,,,,
Portfolio Tracked:,Portfolio_01,,,,,,
,,,,,,,
Year,Month,Day,Total Investment,Total Revenue,Total Value,,
0,0,0,50000,0,50000,,-50000
0,0,1,50000,1125.09,50015.51,,-48874.91
0,0,2,54319.95,1125.09,49749.07,,-53194.86
0,0,3,54458.78,1125.09,49702.81,,-53333.69
0,0,4,61069.13,1125.09,48372.22,,-59944.04
0,0,5,61069.13,5661.87,48706.17,,-55407.26
0,0,6,61069.13,8044.73,48781.13,,-53024.4
0,0,7,67041.47,8044.73,47778.69,,-58996.74
0,0,8,70603.13,8044.73,46860.32,,-62558.4
0,0,9,70603.13,10805.84,47312.03,,-59797.29
0,0,10,70603.13,18232.64,47324.24,,-52370.49
0,0,11,70603.13,19337.58,47335.74,,-51265.55
0,0,12,77145.04,19337.58,46350.88,,-57807.46
0,0,13,79052.47,19337.58,45954.93,,-59714.89
0,0,14,80929.41,19337.58,45482.45,,-61591.83
0,0,15,80929.41,22995.74,45983.09,,-57933.67
0,0,16,86463.63,22995.74,44181.47,,-63467.89
0,0,17,87505.51,22995.74,43818.72,,-64509.77
0,0,18,87505.51,24682.3,44287.82,,-62823.21
0,0,19,89986.02,24682.3,43380.02,,-65303.72
0,0,20,96650.54,24682.3,37696.83,,-71968.24
0,0,21,100922.34,24682.3,31184.19,,-76240.04
0,0,22,100922.34,27745.67,34423.01,,-73176.67
0,0,23,105213.58,27745.67,22953.81,,-77467.91
0,0,24,105213.58,28837.71,25282.44,,-76375.87
0,0,25,105213.58,44841.88,34038.88,,-60371.7
0,0,26,105213.58,47504.33,35071.7,,-57709.25
0,0,27,105213.58,49012.82,35539.03,,-56200.76
0,0,28,109151.02,49012.82,33362.39,,-60138.2
0,0,29,114322.54,49012.82,25963.11,,-65309.72
0,0,30,116635.64,49012.82,20377.32,,-67622.82
0,0,31,117960.87,49012.82,7748.83,,-68948.05
0,0,32,117960.87,50880.42,14803.85,,-67080.45
0,0,33,117960.87,53079.58,19590.88,,-64881.29
0,0,34,119025.24,53079.58,16440.29,,-65945.66
0,0,35,120035.33,53079.58,7371.1,,-66955.75
0,0,36,120203.83,53079.58,2634.58,,-67124.25
0,0,37,120203.83,53079.58,2634.58,,-67124.25
0,0,38,120203.83,53079.58,2634.58,,-67124.25
0,0,39,120203.83,53079.58,2634.58,,-67124.25
0,0,40,120203.83,53079.58,2634.58,,-67124.25
0,0,41,120203.83,53079.58,2634.58,,-67124.25
0,0,42,120203.83,53079.58,2634.58,,-67124.25
0,0,43,120203.83,53079.58,2634.58,,-67124.25
0,0,44,120203.83,53079.58,2634.58,,-67124.25
0,0,45,120203.83,53079.58,2634.58,,-67124.25
0,0,46,120203.83,53079.58,2634.58,,-67124.25
0,0,47,120203.83,53079.58,2634.58,,-67124.25
0,0,48,120203.83,53079.58,2634.58,,-67124.25
0,0,49,120203.83,53079.58,2634.58,,-67124.25
0,0,50,120203.83,53079.58,2634.58,,-67124.25
0,0,51,120203.83,53079.58,2634.58,,-67124.25
0,0,52,120203.83,53079.58,2634.58,,-67124.25
0,0,53,120203.83,53079.58,2634.58,,-67124.25
0,0,54,120203.83,53079.58,2634.58,,-67124.25
0,0,55,120203.83,53079.58,2634.58,,-67124.25
0,0,56,120203.83,53079.58,2634.58,,-67124.25
0,0,57,120203.83,53079.58,2634.58,,-67124.25
0,0,58,120203.83,53079.58,2634.58,,-67124.25
0,0,59,120203.83,53079.58,2634.58,,-67124.25
0,0,60,120203.83,53079.58,2634.58,,-67124.25
0,0,61,120203.83,53079.58,2634.58,,-67124.25
0,0,62,120203.83,53079.58,2634.58,,-67124.25
0,0,63,120203.83,53079.58,2634.58,,-67124.25
0,0,64,120203.83,53079.58,2634.58,,-67124.25
0,0,65,120203.83,53079.58,2634.58,,-67124.25
0,0,66,120203.83,53079.58,2634.58,,-67124.25
0,0,67,120203.83,53079.58,2634.58,,-67124.25
0,0,68,120203.83,53079.58,2634.58,,-67124.25
0,0,69,120203.83,53079.58,2634.58,,-67124.25
0,0,70,120203.83,53079.58,2634.58,,-67124.25
0,0,71,120203.83,53079.58,2634.58,,-67124.25
0,0,72,120203.83,53079.58,2634.58,,-67124.25
0,0,73,120203.83,53079.58,2634.58,,-67124.25
0,0,74,120203.83,53079.58,2634.58,,-67124.25
0,0,75,120203.83,53079.58,2634.58,,-67124.25
0,0,76,120203.83,53079.58,2634.58,,-67124.25
0,0,77,120203.83,53079.58,2634.58,,-67124.25
0,0,78,120203.83,53079.58,2634.58,,-67124.25
0,0,79,120203.83,53079.58,2634.58,,-67124.25
0,0,80,120203.83,53079.58,2634.58,,-67124.25
0,0,81,120203.83,53079.58,2634.58,,-67124.25
0,0,82,120203.83,53079.58,2634.58,,-67124.25
0,0,83,120203.83,53079.58,2634.58,,-67124.25
0,0,84,120203.83,53079.58,2634.58,,-67124.25
0,0,85,120203.83,53079.58,2634.58,,-67124.25
0,0,86,120203.83,53079.58,2634.58,,-67124.25
0,0,87,120203.83,53079.58,2634.58,,-67124.25
0,0,88,120203.83,53079.58,2634.58,,-67124.25
0,0,89,120203.83,53079.58,2634.58,,-67124.25
0,0,90,120203.83,53079.58,2634.58,,-67124.25
0,0,91,120203.83,53079.58,2634.58,,-67124.25
0,0,92,120203.83,53079.58,2634.58,,-67124.25
0,0,93,120203.83,53079.58,2634.58,,-67124.25
0,0,94,120203.83,53079.58,2634.58,,-67124.25
0,0,95,120203.83,53079.58,2634.58,,-67124.25
0,0,96,120203.83,53079.58,2634.58,,-67124.25
0,0,97,120203.83,53079.58,2634.58,,-67124.25
0,0,98,120203.83,53079.58,2634.58,,-67124.25
0,0,99,120203.83,53079.58,2634.58,,-67124.25
0,0,100,120203.83,53079.58,2634.58,,-67124.25
0,0,101,120203.83,53079.58,2634.58,,-67124.25
0,0,102,120203.83,53079.58,2634.58,,-67124.25
0,0,103,120203.83,53079.58,2634.58,,-67124.25
0,0,104,120203.83,53079.58,2634.58,,-67124.25
0,0,105,120203.83,53079.58,2634.58,,-67124.25
0,0,106,120203.83,53079.58,2634.58,,-67124.25
0,0,107,120203.83,53079.58,2634.58,,-67124.25
0,0,108,120203.83,53079.58,2634.58,,-67124.25
0,0,109,120203.83,53079.58,2634.58,,-67124.25
0,0,110,120203.83,53079.58,2634.58,,-67124.25
0,0,111,120203.83,53079.58,2634.58,,-67124.25
0,0,112,120203.83,53079.58,2634.58,,-67124.25
0,0,113,120203.83,53079.58,2634.58,,-67124.25
0,0,114,120203.83,53079.58,2634.58,,-67124.25
0,0,115,120203.83,53079.58,2634.58,,-67124.25
0,0,116,120203.83,53079.58,2634.58,,-67124.25
0,0,117,120203.83,53079.58,2634.58,,-67124.25
0,0,118,120203.83,53079.58,2634.58,,-67124.25
0,0,119,120203.83,53079.58,2634.58,,-67124.25
0,0,120,120203.83,53079.58,2634.58,,-67124.25
0,0,121,120203.83,53079.58,2634.58,,-67124.25
0,0,122,120203.83,53079.58,2634.58,,-67124.25
0,0,123,120203.83,53079.58,2634.58,,-67124.25
0,0,124,120203.83,53079.58,2634.58,,-67124.25
0,0,125,120203.83,53079.58,2634.58,,-67124.25
0,0,126,120203.83,53079.58,2634.58,,-67124.25
0,0,127,120203.83,53079.58,2634.58,,-67124.25
0,0,128,120203.83,53079.58,2634.58,,-67124.25
0,0,129,120203.83,53079.58,2634.58,,-67124.25
0,0,130,120203.83,53079.58,2634.58,,-67124.25
0,0,131,120203.83,53079.58,2634.58,,-67124.25
0,0,132,120203.83,53079.58,2634.58,,-67124.25
0,0,133,120203.83,53079.58,2634.58,,-67124.25
0,0,134,120203.83,53079.58,2634.58,,-67124.25
0,0,135,120203.83,53079.58,2634.58,,-67124.25
0,0,136,120203.83,53079.58,2634.58,,-67124.25
0,0,137,120203.83,53079.58,2634.58,,-67124.25
0,0,138,120203.83,53079.58,2634.58,,-67124.25
0,0,139,120203.83,53079.58,2634.58,,-67124.25
0,0,140,120203.83,53079.58,2634.58,,-67124.25
0,0,141,120203.83,53079.58,2634.58,,-67124.25
0,0,142,120203.83,53079.58,2634.58,,-67124.25
0,0,143,120203.83,53079.58,2634.58,,-67124.25
0,0,144,120203.83,53079.58,2634.58,,-67124.25
0,0,145,120203.83,53079.58,2634.58,,-67124.25
0,0,146,120203.83,53079.58,2634.58,,-67124.25
0,0,147,120203.83,53079.58,2634.58,,-67124.25
0,0,148,120203.83,53079.58,2634.58,,-67124.25
0,0,149,120203.83,53079.58,2634.58,,-67124.25
0,0,150,120203.83,53079.58,2634.58,,-67124.25
0,0,151,120203.83,53079.58,2634.58,,-67124.25
0,0,152,120203.83,53079.58,2634.58,,-67124.25
0,0,153,120203.83,53079.58,2634.58,,-67124.25
0,0,154,120203.83,53079.58,2634.58,,-67124.25
0,0,155,120203.83,53079.58,2634.58,,-67124.25
0,0,156,120203.83,53079.58,2634.58,,-67124.25
0,0,157,120203.83,53079.58,2634.58,,-67124.25
0,0,158,120203.83,53079.58,2634.58,,-67124.25
0,0,159,120203.83,53079.58,2634.58,,-67124.25
0,0,160,120203.83,53079.58,2634.58,,-67124.25
0,0,161,120203.83,53079.58,2634.58,,-67124.25
0,0,162,120203.83,53079.58,2634.58,,-67124.25
0,0,163,120203.83,53079.58,2634.58,,-67124.25
0,0,164,120203.83,53079.58,2634.58,,-67124.25
0,0,165,120203.83,53079.58,2634.58,,-67124.25
0,0,166,120203.83,53079.58,2634.58,,-67124.25
0,0,167,120203.83,53079.58,2634.58,,-67124.25
0,0,168,120203.83,53079.58,2634.58,,-67124.25
0,0,169,120203.83,53079.58,2634.58,,-67124.25
0,0,170,120203.83,53079.58,2634.58,,-67124.25
0,0,171,120203.83,53079.58,2634.58,,-67124.25
0,0,172,120203.83,53079.58,2634.58,,-67124.25
0,0,173,120203.83,53079.58,2634.58,,-67124.25
0,0,174,120203.83,53079.58,2634.58,,-67124.25
0,0,175,120203.83,53079.58,2634.58,,-67124.25
0,0,176,120203.83,53079.58,2634.58,,-67124.25
0,0,177,120203.83,53079.58,2634.58,,-67124.25
0,0,178,120203.83,53079.58,2634.58,,-67124.25
0,0,179,120203.83,53079.58,2634.58,,-67124.25
0,0,180,120203.83,53079.58,2634.58,,-67124.25
0,0,181,120203.83,53079.58,2634.58,,-67124.25
0,0,182,120203.83,53079.58,2634.58,,-67124.25
0,0,183,120203.83,53079.58,2634.58,,-67124.25
0,0,184,120203.83,53079.58,2634.58,,-67124.25
0,0,185,120203.83,53079.58,2634.58,,-67124.25
0,0,186,120203.83,53079.58,2634.58,,-67124.25
0,0,187,120203.83,53079.58,2634.58,,-67124.25
0,0,188,120203.83,53079.58,2634.58,,-67124.25
0,0,189,120203.83,53079.58,2634.58,,-67124.25
0,0,190,120203.83,53079.58,2634.58,,-67124.25
0,0,191,120203.83,53079.58,2634.58,,-67124.25
0,0,192,120203.83,53079.58,2634.58,,-67124.25
0,0,193,120203.83,53079.58,2634.58,,-67124.25
0,0,194,120203.83,53079.58,2634.58,,-67124.25
0,0,195,120203.83,53079.58,2634.58,,-67124.25
0,0,196,120203.83,53079.58,2634.58,,-67124.25
0,0,197,120203.83,53079.58,2634.58,,-67124.25
0,0,198,120203.83,53079.58,2634.58,,-67124.25
0,0,199,120203.83,53079.58,2634.58,,-67124.25
0,0,200,120203.83,53079.58,2634.58,,-67124.25
0,0,201,120203.83,53079.58,2634.58,,-67124.25
0,0,202,120203.83,53079.58,2634.58,,-67124.25
0,0,203,120203.83,53079.58,2634.58,,-67124.25
0,0,204,120203.83,53079.58,2634.58,,-67124.25
0,0,205,120203.83,53079.58,2634.58,,-67124.25
0,0,206,120203.83,53079.58,2634.58,,-67124.25
0,0,207,120203.83,53079.58,2634.58,,-67124.25
