Performance Struct Name:,Performance_01
Portfolio Tracked:,Portfolio_01

Year,Month,Day,Total Investment,Total Revenue,Total Value,
0,0,0,122.00,0.00,122.00,
0,0,1,122.00,0.00,122.00,
0,0,2,122.00,0.00,122.00,
0,0,3,122.00,0.00,122.00,
0,0,4,122.00,0.00,122.00,
0,0,5,122.00,0.00,122.00,
0,0,6,122.00,0.00,122.00,
0,0,7,122.00,0.00,122.00,
0,0,8,122.00,0.00,122.00,
0,0,9,122.00,0.00,122.00,
0,0,10,122.00,0.00,122.00,
0,0,11,122.00,0.00,122.00,
0,0,12,122.00,0.00,122.00,
0,0,13,122.00,0.00,122.00,
0,0,14,122.00,0.00,122.00,
0,0,15,122.00,0.00,122.00,
0,0,16,122.00,0.00,122.00,
0,0,17,122.00,0.00,122.00,
0,0,18,122.00,0.00,122.00,
0,0,19,122.00,0.00,122.00,
0,0,20,122.00,0.00,122.00,
0,0,21,122.00,0.00,122.00,
0,0,22,122.00,0.00,122.00,
0,0,23,122.00,0.00,122.00,
0,0,24,122.00,0.00,122.00,
0,0,25,122.00,0.00,122.00,
0,0,26,122.00,0.00,122.00,
0,0,27,122.00,0.00,122.00,
0,0,28,122.00,0.00,122.00,
0,0,29,122.00,0.00,122.00,
0,0,30,122.00,0.00,122.00,
0,0,31,122.00,0.00,122.00,
0,0,32,122.00,0.00,122.00,
0,0,33,122.00,0.00,122.00,
0,0,34,122.00,0.00,122.00,
0,0,35,122.00,0.00,122.00,
0,0,36,122.00,0.00,122.00,
0,0,37,122.00,0.00,122.00,
0,0,38,122.00,0.00,122.00,
0,0,39,122.00,0.00,122.00,
0,0,40,122.00,0.00,122.00,
0,0,41,122.00,0.00,122.00,
0,0,42,122.00,0.00,122.00,
0,0,43,122.00,0.00,122.00,
0,0,44,122.00,0.00,122.00,
0,0,45,122.00,0.00,122.00,
0,0,46,122.00,0.00,122.00,
0,0,47,122.00,0.00,122.00,
0,0,48,122.00,0.00,122.00,
