Name,Exxon_Mobil
Symbol,XOM
Exchange,NYSE
Current Price,1.07

Stock Activity

Year,Month,Day,High,Low,Close,Volume
0,0,0,-1.00,-1.00,1.22,-1
0,0,1,-1.00,-1.00,1.22,-1
0,0,2,-1.00,-1.00,1.22,-1
0,0,3,-1.00,-1.00,1.26,-1
0,0,4,-1.00,-1.00,1.31,-1
0,0,5,-1.00,-1.00,1.29,-1
0,0,6,-1.00,-1.00,1.27,-1
0,0,7,-1.00,-1.00,1.26,-1
0,0,8,-1.00,-1.00,1.24,-1
0,0,9,-1.00,-1.00,1.24,-1
0,0,10,-1.00,-1.00,1.25,-1
0,0,11,-1.00,-1.00,1.24,-1
0,0,12,-1.00,-1.00,1.25,-1
0,0,13,-1.00,-1.00,1.25,-1
0,0,14,-1.00,-1.00,1.26,-1
0,0,15,-1.00,-1.00,1.26,-1
0,0,16,-1.00,-1.00,1.25,-1
0,0,17,-1.00,-1.00,1.22,-1
0,0,18,-1.00,-1.00,1.19,-1
0,0,19,-1.00,-1.00,1.20,-1
0,0,20,-1.00,-1.00,1.20,-1
0,0,21,-1.00,-1.00,1.23,-1
0,0,22,-1.00,-1.00,1.21,-1
0,0,23,-1.00,-1.00,1.24,-1
0,0,24,-1.00,-1.00,1.24,-1
0,0,25,-1.00,-1.00,1.23,-1
0,0,26,-1.00,-1.00,1.21,-1
0,0,27,-1.00,-1.00,1.20,-1
0,0,28,-1.00,-1.00,1.19,-1
0,0,29,-1.00,-1.00,1.18,-1
0,0,30,-1.00,-1.00,1.18,-1
0,0,31,-1.00,-1.00,1.20,-1
0,0,32,-1.00,-1.00,1.19,-1
0,0,33,-1.00,-1.00,1.20,-1
0,0,34,-1.00,-1.00,1.20,-1
0,0,35,-1.00,-1.00,1.17,-1
0,0,36,-1.00,-1.00,1.19,-1
0,0,37,-1.00,-1.00,1.18,-1
0,0,38,-1.00,-1.00,1.19,-1
0,0,39,-1.00,-1.00,1.18,-1
0,0,40,-1.00,-1.00,1.15,-1
0,0,41,-1.00,-1.00,1.15,-1
0,0,42,-1.00,-1.00,1.12,-1
0,0,43,-1.00,-1.00,1.13,-1
0,0,44,-1.00,-1.00,1.13,-1
0,0,45,-1.00,-1.00,1.15,-1
0,0,46,-1.00,-1.00,1.15,-1
0,0,47,-1.00,-1.00,1.12,-1
0,0,48,-1.00,-1.00,1.11,-1
0,0,49,-1.00,-1.00,1.11,-1
0,0,50,-1.00,-1.00,1.11,-1
0,0,51,-1.00,-1.00,1.13,-1
0,0,52,-1.00,-1.00,1.12,-1
0,0,53,-1.00,-1.00,1.14,-1
0,0,54,-1.00,-1.00,1.15,-1
0,0,55,-1.00,-1.00,1.13,-1
0,0,56,-1.00,-1.00,1.12,-1
0,0,57,-1.00,-1.00,1.10,-1
0,0,58,-1.00,-1.00,1.09,-1
0,0,59,-1.00,-1.00,1.10,-1
0,0,60,-1.00,-1.00,1.11,-1
0,0,61,-1.00,-1.00,1.10,-1
0,0,62,-1.00,-1.00,1.13,-1
0,0,63,-1.00,-1.00,1.11,-1
0,0,64,-1.00,-1.00,1.12,-1
0,0,65,-1.00,-1.00,1.10,-1
0,0,66,-1.00,-1.00,1.10,-1
0,0,67,-1.00,-1.00,1.07,-1
0,0,68,-1.00,-1.00,1.09,-1
0,0,69,-1.00,-1.00,1.12,-1
0,0,70,-1.00,-1.00,1.12,-1
0,0,71,-1.00,-1.00,1.13,-1
0,0,72,-1.00,-1.00,1.11,-1
0,0,73,-1.00,-1.00,1.10,-1
0,0,74,-1.00,-1.00,1.09,-1
0,0,75,-1.00,-1.00,1.08,-1
0,0,76,-1.00,-1.00,1.09,-1
0,0,77,-1.00,-1.00,1.08,-1
0,0,78,-1.00,-1.00,1.08,-1
0,0,79,-1.00,-1.00,1.08,-1
0,0,80,-1.00,-1.00,1.08,-1
0,0,81,-1.00,-1.00,1.09,-1
0,0,82,-1.00,-1.00,1.07,-1
0,0,83,-1.00,-1.00,1.07,-1
0,0,84,-1.00,-1.00,1.06,-1
0,0,85,-1.00,-1.00,1.06,-1
0,0,86,-1.00,-1.00,1.07,-1
0,0,87,-1.00,-1.00,1.07,-1
0,0,88,-1.00,-1.00,1.07,-1
0,0,89,-1.00,-1.00,1.06,-1
0,0,90,-1.00,-1.00,1.06,-1
0,0,91,-1.00,-1.00,1.05,-1
0,0,92,-1.00,-1.00,1.07,-1
0,0,93,-1.00,-1.00,1.08,-1
0,0,94,-1.00,-1.00,1.08,-1
